day,slot,category,ko,text,pron,vocab
8,3,쇼핑,좀 볼게요.,我看看,워 칸칸 · wǒ kànkan,看:kàn 칸:보다|동사 두 번=가볍게 '좀 ~해보다'
9,1,시간,지금 몇 시예요?,现在几点?,시엔짜이 지 디엔 · xiànzài jǐ diǎn,现在:xiànzài 시엔짜이:지금;几:jǐ 지:몇;点:diǎn 디엔:시
9,2,시간,오늘.,今天,진티엔 · jīntiān,今:jīn 진:지금·이;天:tiān 티엔:날
9,3,시간,내일.,明天,밍티엔 · míngtiān,明:míng 밍:다음의·밝다;天:tiān 티엔:날
10,1,장소,화장실이 어디예요?,洗手间在哪儿?,시셔우지엔 짜이 날 · xǐshǒujiān zài nǎr,洗手间:xǐshǒujiān 시셔우지엔:화장실;在:zài 짜이:~에 있다;哪儿:nǎr 날:어디
10,2,장소,여기 있어요.,在这里,짜이 쩌리 · zài zhèli,这里:zhèli 쩌리:여기
10,3,장소,저기 있어요.,在那里,짜이 나리 · zài nàli,那里:nàli 나리:저기·거기
11,1,이동,공항에 가려고요.,我要去机场,워 야오 취 지창 · wǒ yào qù jīchǎng,去:qù 취:가다;机场:jīchǎng 지창:공항
11,2,이동,여기서 세워 주세요.,请停在这里,칭 팅 짜이 쩌리 · qǐng tíng zài zhèli,停:tíng 팅:멈추다·세우다
11,3,이동,멀어요?,远不远?,위엔 부 위엔 · yuǎn bu yuǎn,远:yuǎn 위엔:멀다|'멀다-안-멀다?' 겹치면 의문문
12,1,이동,직진하세요.,一直走,이즈 저우 · yìzhí zǒu,一直:yìzhí 이즈:곧장·계속;走:zǒu 저우:걷다·가다
12,2,이동,좌회전하세요.,左转,쭈어 쭈안 · zuǒ zhuǎn,左:zuǒ 쭈어:왼쪽;转:zhuǎn 쭈안:돌다
12,3,이동,우회전하세요.,右转,요우 쭈안 · yòu zhuǎn,右:yòu 요우:오른쪽;转:zhuǎn 쭈안:돌다
13,1,식당,주문할게요.,我要点菜,워 야오 디엔 차이 · wǒ yào diǎn cài,点:diǎn 디엔:주문하다;菜:cài 차이:요리
13,2,식당,메뉴판 있어요?,有菜单吗?,요우 차이딴 마 · yǒu càidān ma,菜单:càidān 차이딴:메뉴판
13,3,식당,이거 하나 주세요.,来个这个,라이 거 쩌거 · lái ge zhège,来:lái 라이:주세요(주문 관용);个:ge 거:개(단위)|식당에서 메뉴 가리키며 쓰는 구어체
14,1,식당,안 맵게 해 주세요.,不要辣,부 야오 라 · bú yào là,不要:bú yào 부 야오:~하지 마세요;辣:là 라:맵다
14,2,식당,맛있어요!,好吃!,하오츠 · hǎochī,好吃:hǎochī 하오츠:맛있다|好(좋다)+吃(먹다)
14,3,식당,계산할게요.,买单,마이딴 · mǎidān,买单:mǎidān 마이딴:계산하다|식당 계산의 표준 한마디
15,1,음료,커피 한 잔 주세요.,我要一杯咖啡,워 야오 이 뻬이 카페이 · wǒ yào yì bēi kāfēi,一杯:yì bēi 이 뻬이:한 잔;咖啡:kāfēi 카페이:커피
15,2,음료,따뜻한 걸로요.,热的,러 더 · rè de,热:rè 러:뜨겁다;的:de 더:~한 것
15,3,음료,차가운 걸로요.,冰的,삥 더 · bīng de,冰:bīng 삥:얼음·차갑다
16,1,식당,물 한 병 주세요.,我要一瓶水,워 야오 이 핑 슈이 · wǒ yào yì píng shuǐ,一瓶:yì píng 이 핑:한 병;水:shuǐ 슈이:물
16,2,식당,건배!,干杯!,깐뻬이 · gānbēi,干:gān 깐:비우다;杯:bēi 뻬이:잔|'잔을 비우자'
16,3,식당,배불러요.,我吃饱了,워 츠바오 러 · wǒ chībǎo le,吃:chī 츠:먹다;饱:bǎo 바오:배부르다
17,1,감정,아주 좋아요.,很好,헌 하오 · hěn hǎo,很:hěn 헌:매우;好:hǎo 하오:좋다
17,2,감정,별로예요.,不好,뿌 하오 · bù hǎo,不:bù 뿌:아니다|好 앞에 붙이면 '안 좋다'
17,3,감정,정말 잘됐다!,太好了!,타이 하오 러 · tài hǎo le,太~了:tài le 타이 러:정말 ~하다(감탄)
18,1,감정,피곤해요.,我很累,워 헌 레이 · wǒ hěn lèi,累:lèi 레이:피곤하다
18,2,감정,배고파요.,我饿了,워 어 러 · wǒ è le,饿:è 어:배고프다
18,3,감정,목말라요.,我渴了,워 커 러 · wǒ kě le,渴:kě 커:목마르다
19,1,날씨,오늘 더워요.,今天很热,진티엔 헌 러 · jīntiān hěn rè,热:rè 러:덥다·뜨겁다
19,2,날씨,오늘 추워요.,今天很冷,진티엔 헌 렁 · jīntiān hěn lěng,冷:lěng 렁:춥다
19,3,날씨,비가 와요.,下雨了,시아 위 러 · xià yǔ le,下:xià 시아:내리다;雨:yǔ 위:비
20,1,부탁,도와주세요.,请帮帮我,칭 빵빵 워 · qǐng bāngbang wǒ,帮:bāng 빵:돕다|동사 반복=부드러운 부탁
20,2,부탁,잠깐만요.,等一下,덩 이시아 · děng yíxià,等:děng 덩:기다리다;一下:yíxià 이시아:잠깐
20,3,부탁,문제없어요.,没问题,메이 원티 · méi wèntí,没:méi 메이:없다;问题:wèntí 원티:문제
21,1,위급,살려주세요!,救命啊!,지우밍 아 · jiùmìng a,救命:jiùmìng 지우밍:목숨을 구하다;啊:a 아:감탄 어미
21,2,위급,아파요. / 병났어요.,我病了,워 삥 러 · wǒ bìng le,病:bìng 삥:병나다
21,3,위급,병원에 가야 해요.,我要去医院,워 야오 취 이위엔 · wǒ yào qù yīyuàn,医院:yīyuàn 이위엔:병원
22,1,위급,여권을 잃어버렸어요.,我的护照丢了,워 더 후짜오 띠우 러 · wǒ de hùzhào diū le,的:de 더:~의;护照:hùzhào 후짜오:여권;丢:diū 띠우:잃어버리다
22,2,위급,경찰을 불러 주세요.,请叫警察,칭 지아오 징차 · qǐng jiào jǐngchá,叫:jiào 지아오:부르다;警察:jǐngchá 징차:경찰
22,3,위급,조심하세요!,小心!,샤오씬 · xiǎoxīn,小心:xiǎoxīn 샤오씬:조심하다|小(작다)+心(마음)='마음을 작게'
23,1,숙소,체크인할게요.,我要办入住,워 야오 빤 루쭈 · wǒ yào bàn rùzhù,办:bàn 빤:처리하다;入住:rùzhù 루쭈:투숙
23,2,숙소,예약했어요.,我有预订,워 요우 위띵 · wǒ yǒu yùdìng,预订:yùdìng 위띵:예약
23,3,숙소,방 있어요?,有房间吗?,요우 팡지엔 마 · yǒu fángjiān ma,房间:fángjiān 팡지엔:방
24,1,숙소,와이파이 비밀번호가 뭐예요?,Wi-Fi密码是什么?,와이파이 미마 스 션머 · Wi-Fi mìmǎ shì shénme,密码:mìmǎ 미마:비밀번호;什么:shénme 션머:무엇
24,2,숙소,에어컨이 고장났어요.,空调坏了,쿵티아오 화이 러 · kōngtiáo huài le,空调:kōngtiáo 쿵티아오:에어컨;坏:huài 화이:고장나다
24,3,숙소,방 청소해 주세요.,请打扫房间,칭 다사오 팡지엔 · qǐng dǎsǎo fángjiān,打扫:dǎsǎo 다사오:청소하다
25,1,교통,지하철역이 어디예요?,地铁站在哪儿?,띠티에짠 짜이 날 · dìtiězhàn zài nǎr,地铁:dìtiě 띠티에:지하철;站:zhàn 짠:역
25,2,교통,표 살게요.,我要买票,워 야오 마이 피아오 · wǒ yào mǎi piào,买:mǎi 마이:사다;票:piào 피아오:표
25,3,교통,어디서 갈아타요?,在哪儿换车?,짜이 날 환 처 · zài nǎr huàn chē,换:huàn 환:바꾸다;车:chē 처:차
26,1,허락,해도 돼요?,可以吗?,커이 마 · kěyǐ ma,可以:kěyǐ 커이:~해도 된다|만능 허락 질문
26,2,허락,돼요.,可以,커이 · kěyǐ,可以:kěyǐ 커이:된다·가능하다
26,3,허락,안 돼요.,不可以,뿌 커이 · bù kěyǐ,不可以:bù kěyǐ 뿌 커이:안 된다
27,1,실전,사진 좀 찍어 주세요.,请帮我拍张照,칭 빵 워 파이 짱 짜오 · qǐng bāng wǒ pāi zhāng zhào,拍照:pāizhào 파이짜오:사진 찍다;张:zhāng 짱:장(사진 세는 단위)
27,2,실전,여기 앉아도 돼요?,这里可以坐吗?,쩌리 커이 쭈어 마 · zhèli kěyǐ zuò ma,坐:zuò 쭈어:앉다
27,3,실전,화이팅!,加油!,지아요우 · jiāyóu,加油:jiāyóu 지아요우:힘내라|加(더하다)+油(기름)='기름을 넣다'
28,1,실전,중국 음식 좋아해요.,我喜欢中国菜,워 시환 쭝궈 차이 · wǒ xǐhuan Zhōngguó cài,喜欢:xǐhuan 시환:좋아하다;中国:Zhōngguó 쭝궈:중국
28,2,실전,정말 예뻐요!,真漂亮!,쩐 피아오량 · zhēn piàoliang,真:zhēn 쩐:정말;漂亮:piàoliang 피아오량:예쁘다
28,3,실전,정말 재미있어요!,真有意思!,쩐 요우 이쓰 · zhēn yǒu yìsi,有意思:yǒu yìsi 요우 이쓰:재미있다
29,1,작별,몸조심하세요.,保重,바오쭝 · bǎozhòng,保重:bǎozhòng 바오쭝:몸조심하다|헤어질 때 건강 기원
29,2,작별,편안한 여행 되세요.,一路平安,이루 핑안 · yílù píng'ān,一路:yílù 이루:가는 길 내내;平安:píng'ān 핑안:평안
29,3,작별,자주 연락해요.,常联系,창 리엔시 · cháng liánxì,常:cháng 창:자주;联系:liánxì 리엔시:연락하다
30,1,작별,모든 게 좋았어요.,一切都很好,이치에 떠우 헌 하오 · yíqiè dōu hěn hǎo,一切:yíqiè 이치에:모든 것;都:dōu 떠우:모두
30,2,작별,또 올게요.,我还会再来,워 하이 후이 짜이 라이 · wǒ hái huì zài lái,还:hái 하이:또;再来:zài lái 짜이 라이:다시 오다
30,3,작별,정말 감사했습니다.,非常感谢,페이창 간씨에 · fēicháng gǎnxiè,非常:fēicháng 페이창:매우;感谢:gǎnxiè 간씨에:감사하다|谢谢보다 격식 있는 감사
