day,slot,category,ko,text,pron,vocab
6,1,숫자,얼마예요?,เท่าไหร่,타오라이,เท่าไหร่:타오라이:얼마
6,2,숫자,"하나, 둘, 셋.",หนึ่ง สอง สาม,능 썽 쌈,หนึ่ง:능:1;สอง:썽:2;สาม:쌈:3
6,3,숫자,100밧이에요.,ร้อยบาท,러이 밧,ร้อย:러이:100;บาท:밧:밧(태국 화폐)
7,1,시간,지금 몇 시예요?,ตอนนี้กี่โมง,떤니 끼 몽,ตอนนี้:떤니:지금;กี่:끼:몇;โมง:몽:시(시각)
7,2,시간,오늘.,วันนี้,완니,วัน:완:날·일;นี้:니:이(지시)
7,3,시간,내일.,พรุ่งนี้,프룽니,พรุ่งนี้:프룽니:내일
8,1,이동,여기로 가 주세요.,ไปที่นี่ด้วย,빠이 티니 두어이,ไป:빠이:가다;ที่นี่:티니:여기;ด้วย:두어이:~해 주세요(요청)
8,2,이동,여기서 세워 주세요.,จอดที่นี่,쩟 티니,จอด:쩟:(차를) 세우다;ที่นี่:티니:여기
8,3,이동,공항에 가고 싶어요.,อยากไปสนามบิน,약 빠이 싸남빈,อยาก:약:~하고 싶다;ไป:빠이:가다;สนามบิน:싸남빈:공항
9,1,이동,화장실이 어디예요?,ห้องน้ำอยู่ที่ไหน,헝남 유 티나이,ห้องน้ำ:헝남:화장실;อยู่:유:있다;ที่ไหน:티나이:어디
9,2,이동,시간이 얼마나 걸려요?,ใช้เวลานานแค่ไหน,차이 웰라 난 캐나이,ใช้เวลา:차이 웰라:시간이 걸리다;นาน:난:오래;แค่ไหน:캐나이:어느 정도
9,3,이동,멀어요?,ไกลไหม,끌라이 마이,ไกล:끌라이:멀다;ไหม:마이:~인가요?(의문)
10,1,이동,왼쪽이요.,ซ้าย,싸이,ซ้าย:싸이:왼쪽
10,2,이동,오른쪽이요.,ขวา,콰,ขวา:콰:오른쪽
10,3,이동,직진해 주세요.,ตรงไปเลย,뜨롱 빠이 러이,ตรงไป:뜨롱 빠이:직진하다;เลย:러이:쭉·바로(강조)
11,1,식당,메뉴 주세요.,ขอเมนูหน่อย,커 메누 너이,ขอ:커:주세요(요청);เมนู:메누:메뉴;หน่อย:너이:좀
11,2,식당,이거 주세요.,เอาอันนี้,아오 안니,เอา:아오:갖다·원하다;อันนี้:안니:이것
11,3,식당,물 주세요.,ขอน้ำหน่อย,커 남 너이,ขอ:커:주세요(요청);น้ำ:남:물
12,1,식당,안 맵게 해 주세요.,เอาไม่เผ็ด,아오 마이 펫,เอา:아오:원하다;ไม่:마이:아니다(부정);เผ็ด:펫:맵다
12,2,식당,맛있어요.,อร่อย,아러이,อร่อย:아러이:맛있다
12,3,식당,계산서 주세요.,เช็กบิลด้วย,첵빈 두어이,เช็กบิล:첵빈:계산서(체크빌);ด้วย:두어이:~해 주세요(요청)
13,1,식당,배고파요.,หิวข้าว,히우 카우,หิว:히우:고프다·갈증나다;ข้าว:카우:밥
13,2,식당,목말라요.,หิวน้ำ,히우 남,หิว:히우:고프다·갈증나다;น้ำ:남:물
13,3,식당,배불러요.,อิ่มแล้ว,임 래우,อิ่ม:임:배부르다;แล้ว:래우:이미·완료
14,1,식당,팟타이 하나 주세요.,ขอผัดไทยหนึ่งที่,커 팟타이 능 티,ผัดไทย:팟타이:팟타이;หนึ่ง:능:1;ที่:티:~인분(단위)
14,2,식당,포장해 주세요.,เอากลับบ้าน,아오 끌랍 반,เอา:아오:원하다;กลับ:끌랍:돌아가다;บ้าน:반:집
14,3,식당,얼음 빼 주세요.,ไม่ใส่น้ำแข็ง,마이 싸이 남캥,ใส่:싸이:넣다;น้ำแข็ง:남캥:얼음
15,1,식당,이거 뭐예요?,นี่อะไร,니 아라이,นี่:니:이것;อะไร:아라이:무엇
15,2,식당,추천해 주세요.,แนะนำหน่อย,내남 너이,แนะนำ:내남:추천하다;หน่อย:너이:좀(부드러운 요청)
15,3,식당,아주 맛있었어요.,อร่อยมาก,아러이 막,อร่อย:아러이:맛있다;มาก:막:아주·매우
16,1,쇼핑,깎아 주시겠어요?,ลดหน่อยได้ไหม,롯 너이 다이 마이,ลด:롯:깎다·줄이다;หน่อย:너이:좀;ได้ไหม:다이 마이:~해 줄래요?
16,2,쇼핑,너무 비싸요.,แพงไป,팽 빠이,แพง:팽:비싸다;ไป:빠이:너무·지나치게(정도)
16,3,쇼핑,싸네요.,ถูก,툭,ถูก:툭:싸다
17,1,쇼핑,이거 있어요?,มีอันนี้ไหม,미 안니 마이,มี:미:있다;อันนี้:안니:이것;ไหม:마이:~인가요?(의문)
17,2,쇼핑,입어봐도 돼요?,ลองได้ไหม,렁 다이 마이,ลอง:렁:시도하다·입어보다;ได้ไหม:다이 마이:~해도 돼요?
17,3,쇼핑,카드 돼요?,จ่ายบัตรได้ไหม,짜이 밧 다이 마이,จ่าย:짜이:지불하다;บัตร:밧:카드;ได้ไหม:다이 마이:~할 수 있어요?
18,1,쇼핑,봉투 주세요.,ขอถุงหน่อย,커 퉁 너이,ขอ:커:주세요(요청);ถุง:퉁:봉투
18,2,쇼핑,영수증 주세요.,ขอใบเสร็จด้วย,커 바이쎗 두어이,ใบเสร็จ:바이쎗:영수증;ด้วย:두어이:~해 주세요(요청)
18,3,쇼핑,그냥 구경하는 거예요.,ดูเฉยๆ,두 츠어이 츠어이,ดู:두:보다;เฉยๆ:츠어이 츠어이:그냥·별일 없이
19,1,숙소,체크인 할게요.,เช็กอินครับ,첵인 크랍,เช็กอิน:첵인:체크인;ครับ:크랍:존댓말 어미(남성)
19,2,숙소,예약했어요.,จองไว้แล้ว,쩡 와이 래우,จอง:쩡:예약하다;ไว้:와이:~해 두다;แล้ว:래우:이미·완료
19,3,숙소,빈 방 있어요?,มีห้องว่างไหม,미 헝 왕 마이,ห้อง:헝:방;ว่าง:왕:비어 있다;ไหม:마이:~인가요?(의문)
20,1,숙소,하룻밤 더 묵을게요.,อยู่ต่ออีกคืน,유 떠 익 큰,อยู่:유:머물다;ต่อ:떠:계속·연장;คืน:큰:밤
20,2,숙소,와이파이 비밀번호가 뭐예요?,รหัสไวไฟอะไร,라핫 와이파이 아라이,รหัส:라핫:비밀번호;ไวไฟ:와이파이:와이파이;อะไร:아라이:무엇
20,3,숙소,에어컨이 고장났어요.,แอร์เสีย,애 씨아,แอร์:애:에어컨;เสีย:씨아:고장나다
21,1,숙소,수건 더 주세요.,ขอผ้าเช็ดตัวเพิ่ม,커 파쳇뚜아 픔,ผ้าเช็ดตัว:파쳇뚜아:수건;เพิ่ม:픔:더·추가로
21,2,숙소,체크아웃이 몇 시예요?,เช็กเอาต์กี่โมง,첵아오 끼 몽,เช็กเอาต์:첵아오:체크아웃;กี่โมง:끼 몽:몇 시
21,3,숙소,짐 맡길 수 있어요?,ฝากกระเป๋าได้ไหม,팍 끄라빠오 다이 마이,ฝาก:팍:맡기다;กระเป๋า:끄라빠오:가방·짐;ได้ไหม:다이 마이:~할 수 있어요?
22,1,위급,도와주세요!,ช่วยด้วย,추어이 두어이,ช่วย:추어이:돕다;ด้วย:두어이:~해 주세요(요청)
22,2,위급,몸이 안 좋아요.,ไม่สบาย,마이 싸바이,ไม่:마이:아니다(부정);สบาย:싸바이:편안하다·건강하다
22,3,위급,병원에 가야 해요.,ต้องไปโรงพยาบาล,떵 빠이 롱파야반,ต้อง:떵:~해야 한다;โรงพยาบาล:롱파야반:병원
23,1,위급,약국이 어디예요?,ร้านขายยาอยู่ที่ไหน,란 카이 야 유 티나이,ร้านขายยา:란 카이 야:약국;อยู่:유:있다;ที่ไหน:티나이:어디
23,2,위급,머리가 아파요.,ปวดหัว,뿌엇 후아,ปวด:뿌엇:아프다(통증);หัว:후아:머리
23,3,위급,배가 아파요.,ปวดท้อง,뿌엇 텅,ปวด:뿌엇:아프다(통증);ท้อง:텅:배
24,1,위급,경찰을 불러 주세요.,เรียกตำรวจให้หน่อย,리약 땀루엇 하이 너이,เรียก:리약:부르다;ตำรวจ:땀루엇:경찰;ให้:하이:~해 주다
24,2,위급,여권을 잃어버렸어요.,หนังสือเดินทางหาย,낭쓰 든탕 하이,หนังสือเดินทาง:낭쓰 든탕:여권;หาย:하이:잃어버리다·사라지다
24,3,위급,조심하세요.,ระวังนะ,라왕 나,ระวัง:라왕:조심하다;นะ:나:~요(부드러운 어미)
25,1,감정,이거 좋아해요.,ชอบอันนี้,첩 안니,ชอบ:첩:좋아하다;อันนี้:안니:이것
25,2,감정,행복해요.,มีความสุข,미 쾀쑥,มี:미:있다;ความสุข:쾀쑥:행복
25,3,감정,재미있어요.,สนุก,싸눅,สนุก:싸눅:재미있다
26,1,감정,더워요.,ร้อน,런,ร้อน:런:덥다
26,2,감정,추워요.,หนาว,나우,หนาว:나우:춥다
26,3,감정,피곤해요.,เหนื่อย,느어이,เหนื่อย:느어이:피곤하다
27,1,감정,잠깐만 기다려 주세요.,รอสักครู่,러 싹 크루,รอ:러:기다리다;สักครู่:싹 크루:잠시
27,2,감정,서두르지 않아도 돼요.,ไม่ต้องรีบ,마이 떵 립,ไม่ต้อง:마이 떵:~할 필요 없다;รีบ:립:서두르다
27,3,감정,문제 없어요.,ไม่มีปัญหา,마이 미 빤하,ไม่มี:마이 미:없다;ปัญหา:빤하:문제
28,1,실전,사진 찍어 주시겠어요?,ถ่ายรูปให้หน่อยได้ไหม,타이 룹 하이 너이 다이 마이,ถ่ายรูป:타이 룹:사진 찍다;ให้:하이:~해 주다;ได้ไหม:다이 마이:~해 줄래요?
28,2,실전,여기 앉아도 돼요?,นั่งตรงนี้ได้ไหม,낭 뜨롱니 다이 마이,นั่ง:낭:앉다;ตรงนี้:뜨롱니:여기·이 자리;ได้ไหม:다이 마이:~해도 돼요?
28,3,실전,화이팅!,สู้ๆ,쑤쑤,สู้:쑤:싸우다·힘내다|반복해서 응원 구호
29,1,실전,또 만나요.,แล้วเจอกันใหม่,래우 쩌 깐 마이,เจอ:쩌:만나다;กัน:깐:서로;ใหม่:마이:다시·새로
29,2,실전,안전한 여행 되세요.,เดินทางปลอดภัยนะ,든탕 쁠럿파이 나,เดินทาง:든탕:여행하다;ปลอดภัย:쁠럿파이:안전하다;นะ:나:~요(부드러운 어미)
29,3,실전,연락할게요.,จะติดต่อไปนะ,짜 띳떠 빠이 나,จะ:짜:~할 것이다(미래);ติดต่อ:띳떠:연락하다
30,1,실전,태국이 정말 좋아요.,ชอบเมืองไทยมาก,첩 므앙타이 막,ชอบ:첩:좋아하다;เมืองไทย:므앙타이:태국;มาก:막:아주·매우
30,2,실전,또 올게요.,จะมาอีก,짜 마 익,จะ:짜:~할 것이다(미래);มา:마:오다;อีก:익:또·더
30,3,실전,모든 것에 감사했습니다.,ขอบคุณสำหรับทุกอย่าง,컵쿤 쌈랍 툭 양,ขอบคุณ:컵쿤:감사하다;สำหรับ:쌈랍:~에 대해;ทุกอย่าง:툭 양:모든 것
